transaction_id,date,source_currency,source_amount,target_currency,target_amount,fx_rate_applied,reference_fx_rate,provider,flow_type,route,entity
TXN-20240101-001,2024-01-03,SGD,50000.00,IDR,547800000,10956.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240101-002,2024-01-03,SGD,32000.00,IDR,358400000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240101-003,2024-01-05,SGD,18500.00,MYR,60790.00,3.286,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240101-004,2024-01-05,SGD,75000.00,IDR,810000000,10800.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240101-005,2024-01-08,SGD,22000.00,IDR,246400000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240101-006,2024-01-08,SGD,41000.00,MYR,136675.00,3.333,3.35,Revolut,intercompany,SGD→MYR,Tokoapik SG Pte Ltd
TXN-20240101-007,2024-01-10,SGD,15000.00,THB,402000.00,26.800,27.50,Stripe,contractor_payout,SGD→USD→THB,Tokoapik SG Pte Ltd
TXN-20240101-008,2024-01-10,SGD,90000.00,IDR,990000000,11000.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,Tokoapik SG Pte Ltd
TXN-20240101-009,2024-01-12,SGD,28000.00,IDR,313600000,11200.00,11200.00,Wise,contractor_payout,SGD→IDR,Tokoapik SG Pte Ltd
TXN-20240101-010,2024-01-12,SGD,55000.00,MYR,181500.00,3.300,3.35,DBS,supplier_payout,SGD→MYR,Tokoapik MY Sdn Bhd
TXN-20240115-011,2024-01-15,SGD,120000.00,IDR,1310400000,10920.00,11200.00,Stripe,supplier_payout,SGD→USD→IDR,PT Tokoapik ID
TXN-20240115-012,2024-01-15,SGD,38000.00,IDR,425600000,11200.00,11200.00,Airwallex,supplier_payout,SGD→IDR,PT Tokoapik ID
TXN-20240115-013,2024-01-17,SGD,25000.00,MYR,83750.00,3.350,3.35,Wise,contractor_payout,SGD→MYR,Tokoapik SG Pte Ltd
