transaction_id,date,source_currency,source_amount,target_currency,target_amount,fx_rate_applied,reference_fx_rate,provider,flow_type,route,entity
TXN001,2024-01-01,SGD,10000,IDR,115000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_A
TXN002,2024-01-02,SGD,5000,IDR,58000000,11600,11750,Stripe,Card,SGD-IDR,Entity_A
TXN003,2024-01-03,SGD,15000,IDR,175500000,11700,11750,Wise,Bank,SGD-IDR,Entity_B
TXN004,2024-01-04,SGD,8000,IDR,92000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_C
TXN005,2024-01-05,SGD,12000,IDR,140400000,11700,11750,Airwallex,Local,SGD-IDR,Entity_A
TXN006,2024-01-06,SGD,20000,IDR,230000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_B
TXN007,2024-01-07,SGD,3000,IDR,35100000,11700,11750,Revolut,FX,SGD-IDR,Entity_C
TXN008,2024-01-08,SGD,10000,MYR,34500,3.45,3.52,Stripe,Card,SGD-USD-MYR,Entity_A
TXN009,2024-01-09,SGD,5000,MYR,17500,3.5,3.52,Wise,Bank,SGD-MYR,Entity_B
TXN010,2024-01-10,SGD,15000,MYR,52500,3.5,3.52,Airwallex,Local,SGD-MYR,Entity_C
TXN011,2024-01-11,SGD,10000,IDR,115000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_A
TXN012,2024-01-12,SGD,5000,IDR,58000000,11600,11750,Stripe,Card,SGD-IDR,Entity_A
TXN013,2024-01-13,SGD,15000,IDR,175500000,11700,11750,Wise,Bank,SGD-IDR,Entity_B
TXN014,2024-01-14,SGD,8000,IDR,92000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_C
TXN015,2024-01-15,SGD,12000,IDR,140400000,11700,11750,Airwallex,Local,SGD-IDR,Entity_A
TXN016,2024-01-16,SGD,20000,IDR,230000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_B
TXN017,2024-01-17,SGD,3000,IDR,35100000,11700,11750,Revolut,FX,SGD-IDR,Entity_C
TXN018,2024-01-18,SGD,10000,MYR,34500,3.45,3.52,Stripe,Card,SGD-USD-MYR,Entity_A
TXN019,2024-01-19,SGD,5000,MYR,17500,3.5,3.52,Wise,Bank,SGD-MYR,Entity_B
TXN020,2024-01-20,SGD,15000,MYR,52500,3.5,3.52,Airwallex,Local,SGD-MYR,Entity_C
TXN021,2024-01-21,SGD,10000,IDR,115000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_A
TXN022,2024-01-22,SGD,5000,IDR,58000000,11600,11750,Stripe,Card,SGD-IDR,Entity_A
TXN023,2024-01-23,SGD,15000,IDR,175500000,11700,11750,Wise,Bank,SGD-IDR,Entity_B
TXN024,2024-01-24,SGD,8000,IDR,92000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_C
TXN025,2024-01-25,SGD,12000,IDR,140400000,11700,11750,Airwallex,Local,SGD-IDR,Entity_A
TXN026,2024-01-26,SGD,20000,IDR,230000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_B
TXN027,2024-01-27,SGD,3000,IDR,35100000,11700,11750,Revolut,FX,SGD-IDR,Entity_C
TXN028,2024-01-28,SGD,10000,MYR,34500,3.45,3.52,Stripe,Card,SGD-USD-MYR,Entity_A
TXN029,2024-01-29,SGD,5000,MYR,17500,3.5,3.52,Wise,Bank,SGD-MYR,Entity_B
TXN030,2024-01-30,SGD,15000,MYR,52500,3.5,3.52,Airwallex,Local,SGD-MYR,Entity_C
TXN031,2024-01-31,SGD,10000,IDR,115000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_A
TXN032,2024-02-01,SGD,5000,IDR,58000000,11600,11750,Stripe,Card,SGD-IDR,Entity_A
TXN033,2024-02-02,SGD,15000,IDR,175500000,11700,11750,Wise,Bank,SGD-IDR,Entity_B
TXN034,2024-02-03,SGD,8000,IDR,92000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_C
TXN035,2024-02-04,SGD,12000,IDR,140400000,11700,11750,Airwallex,Local,SGD-IDR,Entity_A
TXN036,2024-02-05,SGD,20000,IDR,230000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_B
TXN037,2024-02-06,SGD,3000,IDR,35100000,11700,11750,Revolut,FX,SGD-IDR,Entity_C
TXN038,2024-02-07,SGD,10000,MYR,34500,3.45,3.52,Stripe,Card,SGD-USD-MYR,Entity_A
TXN039,2024-02-08,SGD,5000,MYR,17500,3.5,3.52,Wise,Bank,SGD-MYR,Entity_B
TXN040,2024-02-09,SGD,15000,MYR,52500,3.5,3.52,Airwallex,Local,SGD-MYR,Entity_C
TXN041,2024-02-10,SGD,10000,IDR,115000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_A
TXN042,2024-02-11,SGD,5000,IDR,58000000,11600,11750,Stripe,Card,SGD-IDR,Entity_A
TXN043,2024-02-12,SGD,15000,IDR,175500000,11700,11750,Wise,Bank,SGD-IDR,Entity_B
TXN044,2024-02-13,SGD,8000,IDR,92000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_C
TXN045,2024-02-14,SGD,12000,IDR,140400000,11700,11750,Airwallex,Local,SGD-IDR,Entity_A
TXN046,2024-02-15,SGD,20000,IDR,230000000,11500,11750,Stripe,Card,SGD-USD-IDR,Entity_B
TXN047,2024-02-16,SGD,3000,IDR,35100000,11700,11750,Revolut,FX,SGD-IDR,Entity_C
TXN048,2024-02-17,SGD,10000,MYR,34500,3.45,3.52,Stripe,Card,SGD-USD-MYR,Entity_A
TXN049,2024-02-18,SGD,5000,MYR,17500,3.5,3.52,Wise,Bank,SGD-MYR,Entity_B
TXN050,2024-02-19,SGD,15000,MYR,52500,3.5,3.52,Airwallex,Local,SGD-MYR,Entity_C
